@relation 'semeval_preprocessed'
@attribute 'pair_ID' integer
@attribute 'lex_count_nsw_s1' numeric
@attribute 'lex_count_nsw_s2' numeric
@attribute 'lex_count_nsw_dif' numeric
@attribute 'lex_count_sw_s1' numeric
@attribute 'lex_count_sw_s2' numeric
@attribute 'lex_count_sw_dif' numeric
@attribute 'JCN_sum_max' numeric
@attribute 'LESK_sum_max' numeric
@attribute 'lex_overlap_rem_0sw' numeric
@attribute 'lex_overlap_rem_1sw' numeric
@attribute 'lex_overlap_rem_2sw' numeric
@attribute 'lex_overlap_rem_3sw' numeric
@attribute 'syn_count_dif_NPs' numeric
@attribute 'syn_count_dif_VPs' numeric
@attribute 'syn_count_dif_PPs' numeric
@attribute 'gold_standard' numeric

@data
32,0,0,0,15,11,4,1000,1000,0.64,0.64,0.64,0.625,2,0,1,3.8
33,0,0,0,0,6,6,1000,1000,0.364,0.364,0.364,0.4,0,1,1,2.0
34,0,0,0,6,4,2,1000,1000,0.6,0.6,0.6,0.556,1,0,1,2.2
35,0,0,0,4,4,0,1000,1000,0.786,0.786,0.786,0.786,1,0,0,4.6
36,0,0,0,6,4,2,1000,1000,0.455,0.455,0.455,0.455,1,0,1,0.6
37,0,0,0,4,10,6,1000,1000,0.444,0.444,0.444,0.462,3,3,1,3.2
38,0,0,0,7,6,1,1000,1000,0.778,0.778,0.778,0.765,0,0,0,4.0
39,1,0,1,6,7,1,1000,1000,0.4,0.4,0.4,0.4,0,0,0,2.0
40,1,1,0,9,8,1,1000,1000,0.56,0.56,0.56,0.56,2,1,1,3.4
41,0,0,0,8,6,2,1000,1000,0.652,0.636,0.636,0.667,2,1,1,3.8
42,0,0,0,18,17,1,1000,1000,0.486,0.486,0.486,0.486,4,3,2,4.2
43,0,0,0,8,5,3,1000,1000,0.571,0.571,0.571,0.571,0,1,0,3.2
44,0,0,0,2,3,1,1000,1000,0.667,0.667,0.667,0.667,1,0,1,5.0
45,0,0,0,3,4,1,1000,1000,0.222,0.222,0.222,0.222,0,0,1,1.8
46,0,0,0,3,3,0,1000,1000,0.571,0.5,0.5,0.5,1,0,0,1.6
47,0,0,0,8,4,4,1000,1000,0.682,0.682,0.682,0.682,1,1,2,4.6
48,0,0,0,4,6,2,0.293,0,0.333,0.333,0.333,0.333,2,1,2,1.8
49,0,0,0,2,3,1,1000,1000,0.429,0.429,0.429,0.429,0,0,1,1.8
50,0,0,0,3,3,0,1000,1000,0.857,0.857,0.857,0.857,0,0,0,4.8
51,0,0,0,8,4,4,1000,1000,0.4,0.4,0.4,0.4,1,0,2,4.4
52,0,0,0,3,3,0,1000,1000,0.778,0.778,0.778,0.778,0,0,0,3.4
53,0,0,0,3,2,1,1000,1000,0.778,0.778,0.778,0.778,1,0,1,4.4
54,1,1,0,5,3,2,1000,1000,0.444,0.444,0.444,0.5,0,0,1,1.2
55,0,0,0,14,8,6,1000,1000,0.613,0.613,0.613,0.6,2,1,1,3.8
56,0,0,0,8,9,1,1000,1000,0.857,0.857,0.857,0.857,0,0,0,3.8
57,0,0,0,3,4,1,1000,1000,0.286,0.286,0.286,0.286,1,0,1,1.4
58,0,0,0,7,6,1,1000,1000,0.583,0.583,0.583,0.583,0,1,1,4.0
59,0,0,0,3,4,1,1000,1000,0.625,0.625,0.625,0.625,0,0,0,4.4
60,0,0,0,5,3,2,1000,1000,0.308,0.308,0.308,0.308,2,0,1,1.4
61,0,0,0,8,4,4,1000,1000,0.6,0.6,0.6,0.6,3,1,1,3.4
62,0,0,0,1,2,1,1000,1000,0.429,0.429,0.5,0.5,1,0,1,3.4
63,0,0,0,12,5,7,1000,1000,0.5,0.5,0.5,0.478,3,1,2,3.4
64,0,0,0,2,5,3,1000,1000,0.364,0.364,0.364,0.3,1,0,1,3.0
65,0,0,0,8,9,1,1000,1000,0.857,0.857,0.857,0.857,0,0,0,3.8
66,0,0,0,5,5,0,1000,1000,0.364,0.364,0.364,0.364,0,0,0,4.4
67,0,0,0,5,8,3,1000,1000,0.538,0.538,0.538,0.5,0,0,1,3.4
68,0,0,0,6,8,2,1000,1000,0.688,0.688,0.688,0.688,1,0,1,4.0
69,0,0,0,3,3,0,1000,1000,0.667,0.667,0.667,0.667,1,0,0,0.8
70,0,0,0,9,10,1,1000,1000,0.611,0.611,0.611,0.588,1,0,1,4.6
71,0,0,0,3,3,0,1000,1000,0.8,0.8,0.8,0.8,0,0,0,1.0
72,0,0,0,5,4,1,1000,1000,0.5,0.5,0.5,0.5,0,1,2,3.2
73,0,0,0,2,4,2,1000,1000,0.3,0.3,0.3,0.3,0,1,0,3.6
74,0,0,0,3,5,2,1000,1000,0.818,0.818,0.818,0.818,1,0,1,4.2
75,0,0,0,1,2,1,1000,1000,0.333,0.333,0.333,0.333,1,0,0,1.2
76,0,0,0,6,7,1,1000,1000,0.688,0.688,0.688,0.667,1,1,1,4.2
77,0,0,0,4,3,1,1000,1000,0.636,0.636,0.636,0.6,1,1,0,3.6
78,0,0,0,4,4,0,1000,1000,0.308,0.308,0.308,0.308,1,0,2,2.0
79,0,0,0,5,2,3,1000,1000,0.538,0.538,0.538,0.538,2,2,0,4.2
80,0,0,0,7,8,1,1000,1000,0.667,0.667,0.667,0.667,2,0,0,3.8
81,0,0,0,3,3,0,1000,1000,0.571,0.571,0.571,0.5,0,0,0,1.2
82,0,0,0,10,8,2,1000,1000,0.588,0.588,0.588,0.588,1,0,1,3.25
83,0,0,0,2,4,2,1000,1000,0.692,0.692,0.692,0.692,1,1,0,4.2
84,0,0,0,9,4,5,0.206,0,0.375,0.375,0.375,0.4,0,1,1,2.4
85,0,0,0,4,5,1,1000,1000,0.455,0.455,0.455,0.455,1,1,1,4.6
86,0,0,0,7,8,1,1000,1000,0.739,0.739,0.739,0.739,1,1,0,4.4
87,0,0,0,2,1,1,0.253,3,0.286,0.286,0.286,0.286,0,0,0,1.8
88,0,0,0,2,3,1,1000,1000,0.571,0.571,0.571,0.571,2,1,0,3.2
89,0,0,0,2,2,0,1000,1000,0.75,0.75,0.75,0.75,0,0,0,3.4
90,0,0,0,5,2,3,1000,1000,0.4,0.4,0.4,0.4,2,1,2,2.8
91,0,0,0,4,6,2,1000,1000,0.533,0.533,0.533,0.571,2,0,1,3.8
92,0,0,0,4,5,1,1000,1000,0.812,0.812,0.812,0.812,1,0,1,3.4
93,0,0,0,6,8,2,1000,1000,0.286,0.286,0.286,0.286,0,2,1,1.8
94,1,1,0,14,9,5,1000,1000,0.633,0.633,0.633,0.655,0,0,1,2.8
95,0,0,0,7,6,1,1000,1000,0.667,0.667,0.667,0.667,3,1,1,3.2
96,0,0,0,0,1,1,0,0,0.2,0.2,0.2,0.2,0,0,0,1.8
97,0,0,0,9,8,1,1000,1000,0.714,0.714,0.714,0.7,0,0,0,3.4
98,0,0,0,1,3,2,1000,1000,0.667,0.667,0.667,0.667,1,0,1,5.0
99,0,0,0,3,4,1,1000,1000,0.4,0.4,0.4,0.4,0,0,1,1.4
100,0,0,0,6,8,2,1000,1000,0.588,0.588,0.588,0.588,3,0,3,2.2
101,0,0,0,2,4,2,1000,1000,0.75,0.75,0.75,0.75,0,1,0,5.0
102,0,0,0,10,7,3,1000,1000,0.412,0.412,0.412,0.375,1,1,1,0.6
103,0,0,0,3,3,0,1000,1000,0.667,0.667,0.667,0.667,1,0,0,0.6
104,0,0,0,3,3,0,1000,1000,0.667,0.667,0.667,0.667,0,0,0,3.4
105,0,0,0,15,11,4,1000,1000,0.429,0.429,0.429,0.444,1,3,1,4.6
106,0,0,0,6,7,1,1000,1000,0.462,0.462,0.462,0.462,0,1,0,1.8
107,0,0,0,7,7,0,1000,1000,0.824,0.824,0.824,0.824,0,0,0,4.2
108,1,1,0,4,4,0,1000,1000,0.545,0.545,0.545,0.545,0,0,0,2.6
109,0,0,0,4,1,3,1000,1000,0.455,0.455,0.455,0.455,0,1,1,2.8
110,0,0,0,8,11,3,1000,1000,0.826,0.826,0.826,0.826,1,1,1,4.8
111,0,0,0,13,9,4,1000,1000,0.52,0.52,0.52,0.5,2,1,1,4.4
112,0,0,0,7,5,2,1000,1000,0.476,0.476,0.476,0.476,1,0,1,4.0
113,0,0,0,6,7,1,1000,1000,0.722,0.722,0.722,0.722,1,0,1,4.2
114,0,0,0,14,10,4,1000,1000,0.63,0.63,0.63,0.63,2,1,1,3.8
115,0,0,0,8,9,1,1000,1000,0.667,0.667,0.667,0.654,1,3,3,3.2
116,0,0,0,3,3,0,1000,1000,0.714,0.714,0.714,0.714,0,0,0,3.4
117,0,0,0,5,7,2,1000,1000,0.333,0.333,0.333,0.353,1,0,1,3.0
118,0,0,0,6,9,3,1000,1000,0.652,0.652,0.652,0.636,3,1,2,3.4
119,0,0,0,6,5,1,1000,1000,0.778,0.778,0.778,0.778,1,0,1,3.4
120,0,0,0,6,8,2,1000,1000,0.389,0.389,0.389,0.389,2,1,2,3.8
121,0,0,0,4,4,0,1000,1000,0.625,0.625,0.625,0.625,1,0,0,5.0
122,0,0,0,9,8,1,1000,1000,0.789,0.789,0.789,0.778,1,0,1,5.0
123,0,0,0,2,2,0,0.169,0,0.4,0.4,0.4,0.4,0,0,0,0.0
124,0,0,0,6,3,3,1000,1000,0.417,0.417,0.417,0.417,1,0,0,2.4
125,0,0,0,4,4,0,1000,1000,0.7,0.7,0.7,0.778,0,0,0,3.6
126,0,0,0,3,4,1,1000,1000,0.538,0.538,0.538,0.538,1,0,1,2.0
127,0,0,0,2,2,0,1000,1000,0.667,0.667,0.667,0.667,0,0,0,4.2
128,0,0,0,5,5,0,1000,1000,0.652,0.652,0.652,0.652,1,0,1,3.75
129,0,0,0,7,9,2,1000,1000,0.45,0.45,0.45,0.421,0,3,1,4.0
130,0,0,0,2,3,1,1000,1000,0.7,0.7,0.7,0.7,1,1,0,3.0
131,0,0,0,4,3,1,1000,1000,0.7,0.7,0.7,0.7,1,0,0,3.6
132,0,0,0,8,5,3,1000,1000,0.444,0.444,0.444,0.444,1,0,0,1.8
133,0,0,0,3,3,0,1000,1000,0.556,0.556,0.556,0.556,1,0,0,4.8
134,0,0,0,11,9,2,1000,1000,0.704,0.704,0.704,0.704,0,0,0,3.2
135,0,0,0,11,14,3,1000,1000,0.5,0.5,0.5,0.5,3,2,0,3.8
136,0,1,1,7,12,5,1000,1000,0.636,0.636,0.636,0.636,1,2,0,5.0
137,0,0,0,6,7,1,1000,1000,0.786,0.786,0.786,0.786,0,0,0,3.2
138,0,0,0,8,9,1,1000,1000,0.435,0.435,0.435,0.435,0,1,0,3.8
139,0,0,0,6,6,0,1000,1000,0.636,0.636,0.636,0.636,0,0,0,1.0
140,1,0,1,14,14,0,1000,1000,0.792,0.792,0.792,0.792,1,1,1,4.0
141,0,1,1,13,11,2,1000,1000,0.417,0.417,0.417,0.417,1,1,2,2.2
142,0,0,0,3,3,0,0.115,0,0.571,0.571,0.571,0.571,0,0,0,3.2
143,0,0,0,4,4,0,1000,1000,0.846,0.846,0.846,0.833,0,0,0,4.0
144,0,0,0,8,3,5,1000,1000,0.368,0.368,0.368,0.389,4,2,1,3.8
145,0,0,0,6,8,2,1000,1000,0.476,0.476,0.476,0.5,1,1,1,2.6
146,0,0,0,1,2,1,1000,1000,0.5,0.5,0.5,0.5,0,0,0,3.4
147,0,0,0,4,2,2,1000,1000,0.333,0.333,0.333,0.333,0,0,0,1.4
148,0,0,0,10,12,2,1000,1000,0.613,0.613,0.613,0.613,3,3,1,3.2
149,0,0,0,7,8,1,1000,1000,0.72,0.72,0.72,0.72,1,1,1,5.0
150,0,0,0,7,16,9,1000,1000,0.304,0.304,0.304,0.318,4,1,3,1.0
151,0,0,0,8,6,2,1000,1000,0.684,0.684,0.684,0.667,2,1,1,5.0
152,1,1,0,8,7,1,1000,1000,0.583,0.583,0.583,0.583,2,0,2,5.0
153,0,0,0,5,3,2,1000,1000,0.625,0.625,0.625,0.571,0,0,0,4.2
154,0,1,1,3,7,4,1000,1000,0.5,0.5,0.5,0.5,0,1,0,2.4
155,0,0,0,17,13,4,1000,1000,0.857,0.857,0.857,0.853,3,1,2,4.2
156,0,0,0,5,4,1,1000,1000,0.312,0.312,0.312,0.312,1,0,0,2.6
157,0,0,0,9,6,3,1000,1000,0.565,0.565,0.565,0.545,3,2,2,3.4
158,0,0,0,10,6,4,1000,1000,0.684,0.684,0.684,0.684,1,1,1,3.6
159,0,0,0,3,3,0,1000,1000,0.333,0.333,0.333,0.333,1,1,0,1.8
160,0,0,0,0,1,1,0.2,0,0.375,0.375,0.375,0.375,0,2,1,1.4
161,1,1,0,9,12,3,1000,1000,0.8,0.8,0.8,0.8,2,1,0,3.6
162,0,0,0,9,7,2,1000,1000,0.3,0.3,0.3,0.316,1,1,3,4.0
163,0,0,0,3,4,1,1000,1000,0.444,0.444,0.444,0.5,0,0,0,1.2
164,0,0,0,2,2,0,1000,1000,0.6,0.6,0.6,0.5,0,0,0,3.0
165,1,0,1,9,5,4,1000,1000,0.25,0.25,0.25,0.25,0,1,1,1.8
166,0,0,0,6,4,2,1000,1000,0.5,0.5,0.5,0.5,4,1,1,3.2
167,0,0,0,12,11,1,1000,1000,0.815,0.815,0.815,0.808,1,0,1,4.2
168,0,0,0,6,4,2,1000,1000,0.5,0.5,0.5,0.5,1,1,0,4.0
169,0,0,0,5,7,2,1000,1000,0.611,0.611,0.611,0.611,2,0,1,3.2
170,0,0,0,8,13,5,1000,1000,0.6,0.6,0.6,0.583,2,2,1,3.4
171,0,0,0,8,6,2,1000,1000,0.304,0.304,0.304,0.273,1,2,1,3.8
172,0,0,0,1,4,3,1000,1000,0.455,0.455,0.455,0.455,0,0,1,2.4
173,0,0,0,9,11,2,1000,1000,0.793,0.793,0.793,0.786,2,2,1,3.4
174,1,1,0,6,5,1,1000,1000,0.429,0.429,0.429,0.429,2,1,1,2.0
175,0,0,0,6,5,1,1000,1000,0.615,0.615,0.615,0.615,0,0,1,3.2
176,0,0,0,4,7,3,1000,1000,0.714,0.714,0.714,0.714,1,1,1,3.4
177,0,0,0,4,4,0,0.228,0,0.462,0.462,0.462,0.462,1,1,0,3.2
178,0,0,0,11,15,4,1000,1000,0.516,0.516,0.516,0.516,3,0,2,3.4
179,0,0,0,13,17,4,1000,1000,0.676,0.676,0.676,0.667,2,2,1,4.6
180,0,0,0,2,2,0,1000,1000,0.111,0.111,0.111,0.111,1,0,0,1.6
181,0,0,0,2,3,1,1000,1000,0.667,0.667,0.667,0.667,2,0,0,5.0
182,0,0,0,7,8,1,1000,1000,0.882,0.882,0.882,0.882,1,1,0,4.8
183,1,0,1,4,3,1,1000,1000,0.267,0.267,0.267,0.267,0,1,1,1.2
184,0,0,0,3,4,1,1000,1000,0.615,0.615,0.615,0.615,0,1,1,4.6
185,0,0,0,8,3,5,1000,1000,0.571,0.571,0.571,0.571,2,1,1,2.8
186,0,0,0,12,9,3,1000,1000,0.591,0.591,0.591,0.591,4,2,2,3.4
187,0,0,0,3,1,2,1000,1000,0.5,0.5,0.5,0.545,0,0,1,2.6
188,0,0,0,3,3,0,1000,1000,0.833,0.833,0.833,0.8,0,0,0,1.8
189,0,0,0,3,3,0,1000,1000,0.625,0.625,0.625,0.625,0,0,0,4.4
190,0,0,0,6,7,1,1000,1000,0.6,0.6,0.6,0.6,1,1,0,4.0
191,0,0,0,5,5,0,1000,1000,0.821,0.821,0.821,0.815,1,0,0,3.8
192,0,0,0,4,8,4,1000,1000,0.4,0.4,0.4,0.4,2,1,1,1.6
193,0,0,0,14,9,5,1000,1000,0.436,0.436,0.436,0.421,4,3,2,3.6
194,0,0,0,2,3,1,1000,1000,0.5,0.5,0.5,0.5,2,0,1,3.6
195,0,0,0,2,1,1,0.125,0,0.2,0.2,0.2,0.2,0,0,0,0.0
196,0,0,0,6,4,2,1000,1000,0.5,0.5,0.5,0.5,1,0,1,2.2
197,0,0,0,4,7,3,1000,1000,0.652,0.652,0.652,0.652,1,0,2,3.6
198,0,0,0,4,7,3,1000,1000,0.312,0.312,0.312,0.312,3,1,1,1.2
199,0,0,0,8,16,8,1000,1000,0.429,0.429,0.429,0.429,1,1,1,4.2
200,0,0,0,7,12,5,1000,1000,0.652,0.652,0.652,0.652,1,0,1,3.4
201,0,0,0,3,3,0,1000,1000,0.444,0.444,0.444,0.444,1,0,1,0.0
202,0,0,0,7,8,1,1000,1000,0.647,0.647,0.647,0.647,2,0,2,3.8
203,0,0,0,4,5,1,1000,1000,0.8,0.8,0.8,0.8,0,0,0,4.4
204,0,0,0,8,5,3,1000,1000,0.4,0.4,0.4,0.4,0,1,0,3.4
205,0,0,0,3,5,2,1000,1000,0.462,0.462,0.462,0.462,1,1,0,3.0
206,0,0,0,4,6,2,1000,1000,0.706,0.75,0.75,0.75,0,0,1,4.0
207,0,0,0,7,5,2,1000,1000,0.286,0.286,0.286,0.308,1,1,0,0.8
208,0,1,1,10,12,2,1000,1000,0.609,0.609,0.609,0.591,0,1,2,4.0
209,0,0,0,3,3,0,1000,1000,0.667,0.667,0.667,0.667,1,0,0,5.0
210,0,0,0,3,5,2,1000,1000,0.182,0.182,0.182,0.2,2,0,2,1.0
211,0,0,0,8,6,2,1000,1000,0.684,0.684,0.684,0.684,0,0,1,5.0
212,0,0,0,3,1,2,1000,1000,0.714,0.714,0.714,0.714,1,0,1,5.0
213,0,0,0,5,4,1,1000,1000,0.4,0.4,0.4,0.4,0,1,1,2.2
214,0,0,0,2,2,0,1000,1000,0.5,0.5,0.5,0.5,1,0,0,4.8
215,0,0,0,2,3,1,1000,1000,0.556,0.556,0.556,0.556,0,0,0,1.8
216,0,0,0,3,4,1,0.331,2,0.188,0.188,0.188,0.188,2,0,2,2.2
217,0,0,0,11,10,1,1000,1000,0.647,0.647,0.647,0.647,0,0,0,2.6
218,0,0,0,5,4,1,1000,1000,0.846,0.846,0.846,0.833,1,0,0,4.4
219,0,0,0,8,4,4,1000,1000,0.25,0.25,0.25,0.25,2,2,0,1.2
220,0,0,0,10,7,3,1000,1000,0.667,0.667,0.667,0.65,1,1,0,4.8
221,0,0,0,2,2,0,1000,1000,0.8,0.8,0.8,0.8,0,0,0,3.8
222,0,0,0,1,2,1,1000,1000,0.333,0.333,0.333,0.333,0,0,0,1.2
223,0,0,0,10,5,5,1000,1000,0.52,0.52,0.52,0.542,5,2,2,3.0
224,0,0,0,8,7,1,1000,1000,0.905,0.905,0.905,0.905,1,0,0,4.6
225,0,0,0,7,11,4,1000,1000,0.318,0.318,0.318,0.318,1,2,2,3.2
226,0,0,0,2,3,1,1000,1000,0.25,0.25,0.25,0.25,0,0,0,0.2
227,0,0,0,6,8,2,1000,1000,0.778,0.778,0.778,0.765,0,0,0,4.8
228,0,0,0,5,3,2,1000,1000,0.25,0.25,0.25,0.25,1,0,1,0.0
229,0,0,0,4,3,1,1000,1000,0.6,0.6,0.6,0.6,1,0,0,3.6
230,0,0,0,6,11,5,1000,1000,0.714,0.714,0.714,0.714,2,1,2,4.2
231,0,0,0,12,9,3,1000,1000,0.45,0.45,0.45,0.421,2,1,0,2.6
232,0,0,0,6,4,2,1000,1000,0.647,0.647,0.647,0.647,1,1,1,3.8
233,0,0,0,9,7,2,1000,1000,0.762,0.762,0.762,0.762,1,0,1,3.8
234,0,0,0,7,4,3,1000,1000,0.214,0.214,0.214,0.214,2,1,0,1.6
235,0,0,0,6,8,2,1000,1000,0.474,0.474,0.474,0.474,2,0,0,3.2
236,0,0,0,10,13,3,1000,1000,0.4,0.4,0.4,0.379,1,3,2,3.2
237,0,0,0,0,4,4,1000,1000,0.286,0.286,0.286,0.286,4,1,3,3.0
238,0,0,0,6,2,4,1000,1000,0.375,0.375,0.375,0.375,2,1,1,2.6
239,1,1,0,3,4,1,1000,1000,0.5,0.5,0.5,0.5,0,1,1,1.0
240,0,0,0,4,3,1,0.223,10,0.4,0.4,0.4,0.4,2,0,0,0.4
241,0,0,0,3,6,3,1000,1000,0.471,0.471,0.471,0.471,2,1,1,1.0
242,0,0,0,6,6,0,1000,1000,0.579,0.579,0.579,0.611,2,2,0,4.2
243,1,1,0,4,4,0,1000,1000,0.692,0.692,0.692,0.692,1,1,0,3.6
244,0,0,0,10,17,7,1000,1000,0.526,0.526,0.526,0.514,7,0,5,3.4
245,0,0,0,17,10,7,1000,1000,0.733,0.733,0.733,0.733,2,1,1,3.6
246,0,0,0,9,6,3,0.275,0,0.357,0.357,0.357,0.357,1,0,2,0.8
247,0,0,0,3,3,0,1000,1000,0.667,0.667,0.667,0.667,0,0,0,0.4
248,1,0,1,7,8,1,1000,1000,0.235,0.235,0.235,0.235,1,1,2,1.4
249,0,0,0,6,2,4,1000,1000,0.389,0.389,0.389,0.389,5,2,0,2.4
250,0,0,0,5,4,1,0.228,0,0.278,0.278,0.278,0.278,1,1,2,1.2
251,0,0,0,9,6,3,1000,1000,0.444,0.444,0.444,0.471,1,1,1,3.2
252,0,0,0,6,8,2,1000,1000,0.5,0.5,0.5,0.5,0,1,1,3.6
253,0,0,0,23,18,5,1000,1000,0.619,0.619,0.619,0.619,3,0,2,4.0
254,0,0,0,3,3,0,1000,1000,0.6,0.6,0.6,0.556,1,0,0,2.2
255,0,0,0,5,3,2,1000,1000,0.364,0.364,0.364,0.364,1,0,1,2.6
256,0,0,0,3,9,6,1000,1000,0.25,0.25,0.25,0.25,1,2,0,2.2
257,0,0,0,2,1,1,1000,1000,0.167,0.167,0.167,0.167,0,0,0,2.8
258,0,0,0,9,14,5,1000,1000,0.448,0.448,0.448,0.448,2,1,1,3.6
259,0,0,0,5,5,0,1000,1000,0.583,0.583,0.583,0.545,1,0,0,3.0
260,0,0,0,2,5,3,0.332,0,0.231,0.231,0.231,0.231,1,0,1,2.0
261,0,0,0,1,3,2,1000,1000,0.55,0.55,0.55,0.55,1,1,3,3.4
262,0,0,0,4,11,7,1000,1000,0.5,0.5,0.5,0.481,6,2,3,3.0
263,0,0,0,12,15,3,1000,1000,0.647,0.647,0.647,0.667,3,0,2,2.6
264,0,0,0,11,11,0,1000,1000,0.3,0.3,0.3,0.263,0,0,0,3.0
265,0,0,0,2,1,1,1000,1000,0.429,0.429,0.429,0.429,0,0,0,2.0
266,0,0,0,4,6,2,1000,1000,0.5,0.5,0.5,0.444,1,0,1,0.0
267,0,0,0,11,7,4,1000,1000,0.5,0.5,0.5,0.5,1,1,1,4.4
268,0,0,0,4,4,0,1000,1000,0.25,0.25,0.25,0.25,1,0,1,0.4
269,0,0,0,9,7,2,1000,1000,0.652,0.652,0.652,0.636,0,0,0,3.6
270,0,0,0,5,8,3,1000,1000,0.353,0.353,0.353,0.375,1,1,0,0.6
271,0,0,0,8,4,4,1000,1000,0.474,0.474,0.474,0.5,2,0,1,1.8
272,0,0,0,6,5,1,1000,1000,0.455,0.455,0.455,0.4,1,1,0,1.8
273,0,0,0,6,4,2,1000,1000,0.625,0.625,0.625,0.625,2,1,1,3.0
274,0,0,0,14,9,5,1000,1000,0.269,0.269,0.269,0.269,4,0,3,3.4
275,1,0,1,4,3,1,1000,1000,0.417,0.417,0.417,0.417,4,0,0,1.2
276,0,0,0,4,5,1,1000,1000,0.3,0.3,0.3,0.222,0,0,0,0.0
277,0,0,0,2,2,0,1000,1000,0.625,0.625,0.625,0.625,0,0,0,1.4
278,0,0,0,2,4,2,1000,1000,0.2,0.2,0.2,0.2,1,1,2,2.0
279,0,0,0,8,7,1,1000,1000,0.571,0.571,0.571,0.6,1,0,1,3.6
280,0,0,0,7,11,4,1000,1000,0.5,0.5,0.5,0.5,2,0,1,4.0
281,0,0,0,2,2,0,1000,1000,0.4,0.4,0.4,0.4,2,1,0,3.2
282,0,0,0,2,3,1,0.16,0,0.333,0.333,0.333,0.375,1,0,0,1.8
283,0,0,0,11,11,0,1000,1000,0.577,0.577,0.577,0.577,1,0,1,4.0
284,0,0,0,11,8,3,1000,1000,0.588,0.588,0.588,0.562,3,0,2,3.0
285,0,0,0,9,6,3,1000,1000,0.682,0.682,0.682,0.682,2,0,1,3.6
286,0,0,0,19,10,9,1000,1000,0.438,0.438,0.438,0.438,5,0,4,3.2
