pair_ID	topics_euclidean_dist	topic0	topic1	topic2	topic3	topic4	topic5	topic6	topic7	topic8	topic9	topic10	topic11	topic12	topic13	topic14	topic15	topic16	topic17	topic18	topic19	topic20	topic21	topic22	topic23	topic24	ttopics_euclidean_dist	ttopic0	ttopic1	ttopic2	ttopic3	ttopic4	ttopic5	ttopic6	ttopic7	ttopic8	ttopic9	ttopic10	ttopic11	ttopic12	ttopic13	ttopic14	ttopic15	ttopic16	ttopic17	ttopic18	ttopic19	ttopic20	ttopic21	ttopic22	ttopic23	ttopic24
28	1.204210	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.862857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.516173	0.000000	0.427046	0.170970	0.000000	0.000000	0.000000	0.000000	0.234170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000398	0.000157	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000325	0.000168	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
35	0.656122	0.000000	0.000000	0.000000	0.520985	0.246116	0.000000	0.000000	0.000000	0.000000	0.000000	0.313843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.400633	0.093976	0.000000	0.220145	0.000000	0.000000	0.000000	0.000000	0.000000	0.173989	0.270073	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
40	0.637198	0.000000	0.000000	0.000000	0.503454	0.203260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333528	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.385188	0.093904	0.000000	0.225876	0.000000	0.000000	0.000000	0.000000	0.000000	0.149646	0.257173	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
42	0.017143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017143	0.000000	0.000000	0.000000	0.000000	0.440042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.322031	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.299888	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
44	0.022857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022857	0.000000	0.634751	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.299899	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.505429	0.239816
45	0.386550	0.000000	0.000000	0.000000	0.000000	0.000000	0.294905	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.249905	0.000000	0.634383	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.279738	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500744	0.271006
47	1.086003	0.000000	0.000000	0.000000	0.000000	0.000000	0.295415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.862857	0.000000	0.000000	0.589585	0.000000	1.005643	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.862857	0.000000	0.279664	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.339291	0.271044
49	1.216553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.880000	0.000000	0.000000	0.840000	0.000000	1.061263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.321948	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.563052	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000
55	0.554968	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.389074	0.000000	0.000000	0.000000	0.000000	0.395741	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
56	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
58	0.022857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.058214	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.570317	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.298255
62	0.022857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.058226	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.570362	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.298209
65	0.030476	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030476	0.000000	0.000000	0.000000	0.000000	0.030476	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030476	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
70	0.371010	0.000000	0.000000	0.000000	0.252672	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.271672	0.000000	0.000000	0.000000	0.000000	0.283853	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.172778	0.215430	0.000000	0.000000	0.000000	0.065651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
72	0.041143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041143	0.000000	0.000000	0.000000	0.000000	0.215260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.173100	0.000000	0.000000	0.000000	0.000000	0.127958	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
73	0.010667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010667	0.000000	0.000000	0.000000	0.000000	0.234691	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.173123	0.000000	0.000000	0.000000	0.000000	0.158457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
77	0.264994	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.173002	0.000000	0.200729	0.000000	0.000000	0.391221	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.290151	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.262424	0.000000	0.000000	0.000000	0.000000
78	0.784860	0.139749	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.471337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.611814	0.000000	0.000000	0.008727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
79	1.284635	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.904000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.912727	0.000000	0.000000	0.327012	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.233584	0.000000	0.000000	0.000000	0.228857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
81	0.501078	0.139554	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.372393	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.304840	0.000000	0.000000	0.751170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.559050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.501716	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
82	0.064000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.064000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.644860	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333820	0.000000	0.000000	0.000000	0.229327	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.501814	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
83	1.240432	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.912727	0.000000	0.000000	0.264683	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.217252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.151191	0.000000	0.000000	0.000000
84	1.101294	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.398443	0.000000	0.470129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.912727	0.000000	0.000000	0.825565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.605423	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.561267	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
85	1.120049	0.285573	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.582999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.912727	0.000000	0.000000	0.803705	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.663396	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.239802	0.000000	0.385153	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
87	0.285940	0.205496	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.198829	0.000000	0.719391	0.228650	0.000000	0.000000	0.000000	0.620995	0.000000	0.000000	0.200606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.198405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
88	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.773432	0.000000	0.000000	0.000000	0.000000	0.619781	0.000000	0.000000	0.205001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.414780	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.424844	0.000000	0.000000	0.000000	0.000000	0.000000	0.290910	0.309085	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
91	0.254171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.164872	0.000000	0.193443	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.672532	0.000000	0.000000	0.000000	0.324917	0.000000	0.000000	0.076105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.149367	0.000000	0.172591	0.537436	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
93	1.187939	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.759765	0.000000	0.000000	0.000000	0.000000	0.619979	0.291523	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.328456	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
94	1.094885	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.675081	0.000000	0.193491	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.804808	0.000000	0.000000	0.000000	0.324543	0.619989	0.000000	0.233487	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.149368	0.000000	0.172603	0.226678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
97	1.187939	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.840000	0.000000	0.760211	0.000000	0.000000	0.000000	0.000000	0.620708	0.000000	0.309159	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.311549	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
98	0.501304	0.000000	0.000000	0.357793	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.351126	0.000000	0.514875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.360723	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.367390
99	0.511472	0.000000	0.000000	0.000000	0.364983	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.358316	0.000000	0.502232	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.193800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.412151	0.000000	0.000000	0.000000	0.211684
100	0.353661	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.141732	0.000000	0.000000	0.000000	0.000000	0.000000	0.160927	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.281231	0.000000	0.498454	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.031461	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.326997	0.374886	0.000000	0.000000	0.000000	0.000000	0.000000
107	0.735795	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.233816	0.614577	0.000000	0.301324	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.134993	0.000000	0.000000	0.646192	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.196397	0.497198	0.363024	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
112	0.893797	0.000000	0.000000	0.492952	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.613512	0.000000	0.000000	0.000000	0.353714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.233155	0.000000	0.000000	1.083741	0.658358	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.188309	0.840000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
113	0.916536	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.582575	0.000000	0.000000	0.613699	0.000000	0.000000	0.264092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.232968	0.000000	0.000000	0.977718	0.311014	0.000000	0.000000	0.000000	0.000000	0.000000	0.328378	0.000000	0.000000	0.213941	0.840000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
117	0.932837	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.623514	0.000000	0.000000	0.614639	0.000000	0.000000	0.000000	0.223152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.232028	0.000000	0.000000	1.000141	0.470483	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.195935	0.840000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.186915	0.000000
120	0.145009	0.000000	0.000000	0.000000	0.000000	0.113009	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.090866	0.000000	0.000000	0.000000	0.000000	0.000000	0.372728	0.000000	0.137757	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.183263	0.000000	0.000000	0.000000	0.000000	0.293877
122	0.265264	0.000000	0.198732	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.175701	0.000000	0.000000	0.000000	0.019394	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.019394	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
