@relation 'semeval_preprocessed'
@attribute 'pair_ID' integer
@attribute 'lex_count_sw_s1' numeric
@attribute 'lex_count_sw_s2' numeric
@attribute 'lex_count_sw_dif' numeric
@attribute 'JCN_sum_max' numeric
@attribute 'lex_overlap_rem_0sw' numeric
@attribute 'lex_overlap_rem_1sw' numeric
@attribute 'lex_overlap_rem_2sw' numeric
@attribute 'lex_overlap_rem_3sw' numeric
@attribute 'syn_count_dif_NPs' numeric
@attribute 'syn_count_dif_VPs' numeric
@attribute 'syn_count_dif_PPs' numeric
@attribute 'relatedness_groundtruth' numeric

@data
148,6,4,2,1000,0.182,0.182,0.182,0.182,0,1,1,3.1
150,4,3,1,1000,0.714,0.667,0.667,0.667,0,0,0,3.9
159,7,7,0,1000,0.917,0.909,0.909,0.909,0,0,0,3.4
161,6,6,0,1000,0.556,0.625,0.625,0.625,0,0,0,3.5
163,7,6,1,1000,0.083,0.091,0.091,0.091,2,1,1,3.6
164,7,6,1,1000,0.333,0.333,0.333,0.333,2,1,0,3.6
170,6,6,0,1000,0.889,0.875,0.875,0.875,0,0,0,3.9
173,3,6,3,1000,0.333,0.25,0.25,0.25,2,1,0,3.015
176,3,6,3,1000,0.333,0.25,0.25,0.25,2,1,0,2.7
183,4,5,1,1000,0.571,0.538,0.538,0.538,1,0,1,3.3
184,5,4,1,1000,0.273,0.2,0.2,0.2,0,0,0,2.9
186,4,5,1,1000,0.462,0.417,0.417,0.417,0,0,0,3.1
188,5,6,1,1000,0.286,0.231,0.231,0.231,1,0,1,3.2
192,7,7,0,1000,0.909,0.9,0.9,0.9,0,0,0,3.8
194,8,9,1,1000,0.727,0.7,0.7,0.7,0,0,0,3.7
200,5,5,0,1000,0.875,0.857,0.857,0.857,0,0,0,4.6
201,6,5,1,1000,0.778,0.75,0.75,0.75,1,1,0,3.7
202,7,7,0,1000,0.846,0.833,0.833,0.833,1,1,0,4.8
205,7,5,2,1000,0.25,0.182,0.182,0.182,1,0,2,3.3
215,4,8,4,1000,0.091,0,0,0,2,1,0,3.7
216,4,5,1,1000,0,0,0,0,1,1,0,2.7
217,4,7,3,1000,0.091,0,0,0,1,1,0,3.0
223,3,6,3,1000,0.333,0.333,0.333,0.333,1,0,1,4.0
224,3,4,1,1000,0.375,0.375,0.375,0.375,0,0,0,3.3
226,4,6,2,1000,0.3,0.3,0.3,0.3,1,1,2,3.5
227,6,4,2,1000,0.4,0.4,0.4,0.4,0,0,1,3.3
232,5,6,1,1000,0.818,0.818,0.818,0.818,1,0,0,3.9
233,5,5,0,1000,0.9,0.9,0.9,1,0,0,0,3.7
234,5,6,1,1000,0.273,0.2,0.2,0.2,0,1,1,1.9
237,5,5,0,1000,0.3,0.222,0.222,0.222,0,1,1,2.3
238,4,5,1,1000,0.2,0.222,0.222,0.222,0,0,0,1.6
240,5,3,2,1000,0.6,0.556,0.556,0.5,1,0,1,4.3
241,3,3,0,1000,0.857,0.833,0.833,0.8,0,0,0,4.0
248,4,3,1,1000,0.5,0.5,0.5,0.5,1,0,1,3.6
249,5,4,1,1000,0.4,0.333,0.333,0.375,0,0,1,2.5
254,8,7,1,1000,0.8,0.8,0.8,0.8,1,0,0,3.2
256,9,10,1,1000,0.867,0.857,0.857,0.857,1,0,0,4.3
257,8,10,2,1000,0.267,0.214,0.214,0.231,1,0,1,2.5
258,8,9,1,1000,0.2,0.143,0.143,0.143,2,0,1,2.5
259,10,9,1,1000,0.286,0.231,0.231,0.231,0,0,1,2.9
260,7,10,3,1000,0.143,0.154,0.154,0.154,0,0,1,2.4
265,6,5,1,1000,0.909,0.9,0.9,0.9,0,0,0,4.8
266,5,6,1,1000,0.818,0.8,0.8,0.8,0,0,0,3.6
269,6,5,1,1000,0.5,0.444,0.444,0.444,0,1,2,3.2
272,5,5,0,1000,0.4,0.333,0.333,0.333,0,0,2,3.8
273,4,4,0,1000,0.875,0.857,0.857,0.857,0,0,0,4.1
276,3,4,1,1000,0.714,0.714,0.714,0.714,0,0,0,3.2
277,4,4,0,0.243,0.286,0.286,0.286,0.286,0,0,0,3.0
279,4,4,0,1000,0.375,0.429,0.429,0.429,0,0,0,3.3
283,4,5,1,1000,0.778,0.75,0.75,0.75,1,1,0,3.6
286,4,3,1,0.198,0.143,0,0,0,1,0,1,3.0
287,4,3,1,1000,0.571,0.5,0.5,0.5,1,0,1,3.8
289,5,6,1,1000,0.4,0.333,0.333,0.333,1,0,1,3.4
291,6,6,0,1000,0.7,0.7,0.7,0.7,0,0,0,4.0
293,4,4,0,1000,0.875,0.875,0.875,0.875,0,0,0,4.4
296,4,6,2,0.278,0.1,0.1,0.1,0.1,0,1,1,2.8
301,7,8,1,1000,0.833,0.818,0.818,0.818,1,1,0,2.9
302,7,7,0,1000,1,1,1,1,0,0,0,3.1
303,3,3,0,1000,0.75,0.714,0.714,0.714,0,0,0,4.4
305,7,3,4,1000,0.364,0.3,0.3,0.3,2,0,2,3.8
309,7,3,4,1000,0.364,0.3,0.3,0.3,2,0,2,3.0
310,7,3,4,1000,0.364,0.3,0.3,0.3,2,0,2,4.2
311,4,4,0,1000,0.75,0.714,0.714,0.714,0,0,0,4.3
312,4,5,1,1000,0.778,0.75,0.75,0.75,0,0,0,3.8
313,10,11,1,1000,0.75,0.733,0.733,0.733,0,1,1,4.5
315,9,10,1,1000,0.867,0.857,0.857,0.857,0,0,0,3.3
323,8,8,0,1000,0.833,0.818,0.818,0.818,0,0,0,3.9
327,8,5,3,1000,0.25,0.182,0.182,0.182,1,0,1,1.5
329,8,4,4,1000,0.273,0.2,0.2,0.2,2,1,1,1.3
331,5,4,1,1000,0.625,0.571,0.571,0.571,0,0,0,4.0
332,5,5,0,1000,0.857,0.833,0.833,0.833,0,0,0,2.6
333,7,4,3,1000,0.455,0.5,0.5,0.5,2,0,0,4.5
335,5,4,1,1000,0.429,0.429,0.429,0.429,1,0,1,4.6
338,7,5,2,0.502,0.182,0.1,0.1,0.1,1,0,1,1.4
339,7,5,2,1000,0.273,0.2,0.2,0.2,1,0,1,4.3
340,6,6,0,1000,0.889,0.875,0.875,0.875,0,0,0,4.7
341,7,6,1,1000,0.818,0.8,0.8,0.8,1,0,0,3.7
342,6,6,0,1000,0.7,0.667,0.667,0.667,1,1,0,2.7
344,6,5,1,1000,0.909,0.9,0.9,0.889,0,0,0,3.8
346,6,6,0,1000,0.364,0.3,0.3,0.333,0,0,1,2.5
347,6,5,1,1000,0.4,0.333,0.333,0.375,0,0,1,2.8
351,8,9,1,1000,0.769,0.75,0.75,0.75,1,0,1,4.6
354,6,6,0,1000,0.818,0.818,0.818,0.9,0,0,0,4.3
358,9,6,3,1000,0.154,0.167,0.167,0.167,2,1,1,3.9
360,6,7,1,1000,0.182,0.182,0.182,0.2,1,1,0,3.2
361,8,6,2,1000,0.182,0.182,0.182,0.2,1,1,0,4.0
362,4,4,0,1000,0.889,0.875,0.875,0.875,0,0,0,4.5
363,5,4,1,1000,0.889,0.875,0.875,0.875,0,0,0,3.4
366,6,4,2,0.17,0.545,0.5,0.5,0.5,3,1,0,4.1
367,4,6,2,0.149,0.5,0.444,0.444,0.444,1,0,1,3.2
370,4,5,1,0.149,0.667,0.625,0.625,0.625,1,0,0,4.3
372,6,7,1,1000,0.833,0.818,0.818,0.818,1,1,0,3.8
373,7,7,0,1000,0.636,0.6,0.6,0.6,1,0,1,4.4
374,7,9,2,1000,0.833,0.818,0.818,0.818,0,0,1,2.9
375,6,7,1,1000,0.727,0.7,0.7,0.7,0,1,0,2.6
377,6,9,3,1000,0.417,0.364,0.364,0.364,1,0,2,2.1
378,6,6,0,1000,0.3,0.222,0.222,0.222,1,1,1,2.0
379,6,7,1,1000,0.455,0.4,0.4,0.4,1,0,1,2.5
380,7,7,0,1000,0.417,0.364,0.364,0.364,0,1,1,1.6
381,7,6,1,1000,0.455,0.4,0.4,0.4,1,0,1,2.4
387,5,6,1,1000,0.667,0.636,0.636,0.636,0,0,0,3.8
390,6,5,1,1000,0.833,0.818,0.818,0.818,0,0,0,4.6
391,6,10,4,1000,0.778,0.765,0.765,0.765,2,2,0,4.8
392,11,10,1,1000,0.85,0.842,0.842,0.842,1,1,0,4.1
393,6,10,4,1000,0.611,0.588,0.588,0.588,2,2,0,3.7
395,6,5,1,1000,0.778,0.75,0.75,0.75,1,0,0,4.2
396,10,7,3,1000,0.278,0.235,0.235,0.235,3,2,1,2.6
397,5,10,5,1000,0.222,0.176,0.176,0.176,2,2,1,2.7
398,6,6,0,1000,0.357,0.308,0.308,0.308,1,0,1,3.1
403,5,5,0,1000,0.778,0.75,0.75,0.75,0,0,0,3.5
404,2,1,1,1000,0.75,0.75,0.75,0.75,0,0,0,4.7
409,2,5,3,0.46,0.111,0.125,0.125,0.125,2,0,2,1.5
410,5,2,3,0.522,0.111,0.125,0.125,0.125,2,0,2,3.2
413,7,8,1,1000,0.667,0.636,0.636,0.636,0,0,1,3.0
415,8,8,0,1000,0.917,0.909,0.909,0.909,0,0,0,3.5
422,3,2,1,1000,0.75,0.75,0.75,0.75,1,0,0,4.3
423,3,2,1,1000,0.857,0.857,0.857,0.857,0,0,0,3.2
427,2,6,4,1000,0.385,0.385,0.385,0.385,2,2,2,4.3
428,5,2,3,1000,0.25,0.25,0.25,0.25,2,2,1,3.2
434,3,4,1,1000,0.75,0.714,0.714,0.714,0,0,1,4.2
435,7,4,3,1000,0.556,0.5,0.5,0.5,2,0,1,4.3
436,7,7,0,1000,0.889,0.875,0.875,0.875,0,0,0,2.4
438,4,7,3,0.731,0.333,0.25,0.25,0.25,2,0,1,1.9
439,6,7,1,0.731,0.444,0.375,0.375,0.375,1,0,0,2.9
440,3,7,4,0.742,0.222,0.125,0.125,0.125,2,0,2,3.7
441,7,4,3,0.731,0.333,0.25,0.25,0.25,2,0,1,3.3
442,2,3,1,1000,0.429,0.333,0.333,0.333,1,0,0,4.7
446,4,4,0,1000,0.857,0.833,0.833,0.833,0,0,0,3.5
447,2,3,1,0.723,0.286,0.167,0.167,0.167,1,0,0,4.0
449,4,2,2,0.289,0.429,0.333,0.333,0.333,1,0,0,3.6
451,4,4,0,1000,0.375,0.286,0.286,0.286,0,0,0,2.3
454,7,8,1,1000,0.923,0.917,0.917,0.909,0,0,0,3.6
457,7,3,4,1000,0.417,0.364,0.364,0.4,1,0,1,3.0
461,7,4,3,1000,0.333,0.273,0.273,0.3,1,0,0,2.7
462,4,5,1,1000,0.5,0.429,0.429,0.429,0,1,0,3.5
465,4,5,1,1000,0.875,0.857,0.857,0.857,0,0,0,4.7
470,6,5,1,1000,0.333,0.273,0.273,0.273,1,2,0,3.4
473,3,3,0,1000,0.833,0.8,0.8,0.8,0,0,0,4.5
475,5,8,3,1000,0.6,0.571,0.571,0.571,1,1,2,4.0
476,6,5,1,1000,0.75,0.727,0.727,0.727,1,1,0,4.0
477,8,3,5,1000,0.267,0.214,0.214,0.214,2,0,3,3.9
484,4,4,0,1000,0.778,0.75,0.75,0.75,0,0,0,4.2
485,4,4,0,1000,0.875,0.857,0.857,0.857,0,0,0,3.3
486,8,4,4,1000,0.5,0.462,0.462,0.462,1,1,1,3.8
489,5,4,1,1000,0.556,0.5,0.5,0.5,1,1,0,3.0
491,7,9,2,1000,0.769,0.75,0.75,0.75,1,1,0,4.9
494,9,7,2,1000,0.714,0.692,0.692,0.692,2,1,0,4.8
496,7,9,2,1000,0.5,0.462,0.462,0.462,2,1,0,3.0
497,7,7,0,0.223,0.5,0.455,0.455,0.455,1,0,0,2.9
499,7,7,0,0.454,0.231,0.231,0.231,0.231,0,1,1,2.7
500,8,7,1,0.284,0.308,0.25,0.25,0.25,1,1,2,2.5
505,6,10,4,1000,0.733,0.714,0.714,0.714,1,0,1,4.7
506,6,7,1,1000,0.8,0.786,0.786,0.786,2,1,0,3.7
507,9,6,3,1000,0.6,0.571,0.571,0.571,2,0,1,3.6
508,10,4,6,1000,0.4,0.357,0.357,0.357,2,1,1,3.5
513,4,6,2,1000,0.385,0.333,0.333,0.333,0,1,1,2.4
514,4,6,2,1000,0.462,0.417,0.417,0.417,1,1,0,3.9
515,9,9,0,1000,0.857,0.846,0.846,0.846,0,0,0,4.3
516,10,9,1,1000,0.688,0.667,0.667,0.667,0,0,0,3.7
522,9,4,5,1000,0.357,0.308,0.308,0.308,2,1,2,2.6
524,9,5,4,1000,0.571,0.538,0.538,0.538,2,1,2,3.7
527,9,5,4,1000,0.429,0.385,0.385,0.385,2,1,2,2.5
528,7,4,3,1000,0.6,0.556,0.556,0.556,2,1,0,4.7
529,2,4,2,1000,0.429,0.333,0.333,0.333,1,1,0,3.315
531,8,5,3,1000,0.636,0.6,0.6,0.6,1,0,1,4.8
535,4,6,2,1000,0.364,0.3,0.3,0.3,2,1,0,2.7
538,5,2,3,0.121,0.2,0.111,0.111,0.111,2,1,0,2.6
541,10,10,0,1000,0.929,0.923,0.923,0.923,1,1,0,4.9
542,10,11,1,1000,0.867,0.857,0.857,0.857,1,1,0,3.5
545,5,5,0,1000,0.8,0.778,0.778,0.778,0,1,0,3.1
548,5,10,5,1000,0.308,0.25,0.25,0.25,3,1,3,2.5
550,10,5,5,1000,0.357,0.308,0.308,0.308,4,1,3,3.1
551,11,5,6,1000,0.333,0.286,0.286,0.286,4,1,3,1.9
552,5,12,7,1000,0.333,0.286,0.286,0.286,4,1,2,2.5
555,9,5,4,1000,0.385,0.417,0.417,0.417,2,0,0,3.4
556,5,9,4,1000,0.538,0.5,0.5,0.5,2,0,0,2.5
557,9,6,3,1000,0.846,0.833,0.833,0.833,1,0,1,4.9
560,9,9,0,0.341,0.462,0.417,0.417,0.417,1,1,1,4.0
561,6,9,3,0.271,0.462,0.417,0.417,0.417,2,1,0,3.6
564,5,6,1,1000,0.25,0.273,0.273,0.273,0,1,0,3.1
565,6,5,1,1000,0.5,0.455,0.455,0.455,0,1,0,2.0
568,7,7,0,1000,0.846,0.833,0.833,0.833,0,0,0,4.1
570,6,6,0,1000,0.917,0.909,0.909,0.909,0,0,0,4.5
581,9,11,2,1000,0.786,0.769,0.769,0.769,1,0,1,3.5
586,5,11,6,1000,0.5,0.462,0.462,0.462,3,1,3,3.4
587,11,6,5,1000,0.571,0.538,0.538,0.538,3,1,3,3.4
588,6,9,3,1000,0.583,0.545,0.545,0.545,2,1,2,3.4
597,6,8,2,1000,0.308,0.25,0.25,0.25,2,1,1,2.8
599,9,6,3,1000,0.357,0.308,0.308,0.333,2,2,1,3.4
601,4,4,0,1000,0.8,0.778,0.778,0.778,0,0,0,3.8
603,8,9,1,1000,0.824,0.812,0.812,0.812,1,0,1,5.0
604,8,8,0,1000,0.882,0.875,0.875,0.875,2,0,0,3.7
605,8,11,3,1000,0.579,0.556,0.556,0.556,1,1,1,3.3
606,9,4,5,1000,0.235,0.188,0.188,0.188,2,0,2,3.1
609,8,4,4,1000,0.2,0.214,0.214,0.214,1,0,1,2.4
611,3,8,5,1000,0.2,0.214,0.214,0.214,1,0,0,2.3
617,4,4,0,1000,0.75,0.714,0.714,0.714,0,0,0,3.4
621,9,5,4,1000,0.308,0.25,0.25,0.25,1,3,1,2.2
622,4,9,5,1000,0.357,0.308,0.308,0.308,2,2,1,4.1
625,9,4,5,1000,0.385,0.333,0.333,0.333,2,2,1,3.9
626,5,5,0,1000,0.667,0.625,0.625,0.625,0,0,0,4.8
628,6,5,1,1000,0.636,0.6,0.6,0.6,0,0,1,3.2
629,8,8,0,1000,0.923,0.917,0.917,0.917,0,0,0,4.8
631,8,8,0,1000,0.769,0.75,0.75,0.75,0,0,1,2.2
632,8,5,3,1000,0.385,0.333,0.333,0.333,2,1,1,3.9
634,8,5,3,0.336,0.385,0.333,0.333,0.333,2,1,2,1.6
637,6,8,2,1000,0.417,0.364,0.364,0.364,2,1,0,2.515
638,5,8,3,1000,0.417,0.364,0.364,0.364,2,1,1,3.8
641,7,5,2,1000,0.6,0.556,0.556,0.556,1,0,1,3.1
643,10,7,3,1000,0.667,0.636,0.636,0.636,1,0,2,3.9
645,9,5,4,1000,0.273,0.2,0.2,0.2,1,1,1,4.3
646,5,10,5,0.563,0.25,0.182,0.182,0.182,2,1,2,3.4
648,7,5,2,1000,0.444,0.375,0.375,0.375,1,1,0,4.1
649,7,5,2,0.538,0.333,0.25,0.25,0.25,1,1,0,2.8
650,7,7,0,0.495,0.3,0.222,0.222,0.222,0,1,1,2.685
653,4,5,1,1000,0.778,0.778,0.778,0.778,0,0,1,4.1
655,5,5,0,1000,0.889,0.875,0.875,0.875,0,0,0,4.7
657,5,7,2,1000,0.462,0.417,0.417,0.417,0,1,2,3.2
660,7,5,2,0.333,0.231,0.25,0.25,0.25,1,1,1,3.4
661,5,5,0,1000,0.6,0.556,0.556,0.556,1,0,1,4.3
663,5,5,0,1000,0.5,0.444,0.444,0.444,1,1,1,2.9
668,5,4,1,1000,0.875,0.857,0.833,0.833,0,0,0,3.8
671,4,4,0,1000,0.333,0.25,0.25,0.25,0,0,0,2.9
672,4,3,1,0.21,0.222,0.125,0.125,0.125,1,0,1,3.0
676,12,13,1,1000,0.824,0.812,0.812,0.812,2,1,0,4.9
678,12,4,8,1000,0.438,0.467,0.467,0.467,3,1,1,3.1
679,8,8,0,1000,0.929,0.923,0.923,0.923,0,0,0,4.6
680,8,9,1,1000,0.857,0.846,0.846,0.846,1,1,0,3.9
685,13,8,5,0.618,0.353,0.312,0.312,0.312,3,2,1,4.1
690,9,9,0,1000,0.909,0.9,0.9,0.9,0,0,0,3.4
691,9,8,1,1000,0.636,0.6,0.6,0.6,0,0,1,3.2
692,12,13,1,1000,0.786,0.769,0.769,0.769,0,0,0,5.0
693,13,12,1,1000,0.812,0.8,0.8,0.8,0,0,0,3.7
696,9,12,3,1000,0.25,0.2,0.2,0.2,2,1,0,3.2
697,8,9,1,1000,0.25,0.182,0.182,0.182,0,1,1,3.4
699,13,9,4,1000,0.286,0.231,0.231,0.231,2,1,0,2.8
702,12,11,1,1000,0.944,0.941,0.941,0.941,1,0,1,4.7
703,11,9,2,1000,0.706,0.688,0.688,0.688,1,0,1,4.1
704,8,11,3,1000,0.706,0.688,0.688,0.688,1,0,1,3.7
709,6,12,6,1000,0.333,0.294,0.294,0.294,4,1,3,3.3
715,4,3,1,1000,0.5,0.5,0.5,0.5,0,0,1,3.7
722,5,3,2,1000,0,0,0,0,0,0,2,3.1
723,6,5,1,1000,0.111,0,0,0,1,0,1,3.7
725,5,3,2,1000,0.125,0,0,0,0,0,2,3.8
727,5,6,1,1000,0.8,0.778,0.778,0.778,1,1,0,3.6
728,5,3,2,1000,0.75,0.714,0.714,0.714,1,0,1,3.6
729,6,6,0,1000,0.846,0.833,0.833,0.833,0,0,0,4.9
730,5,6,1,1000,0.917,0.909,0.909,0.909,0,0,0,3.4
731,6,5,1,1000,0.462,0.417,0.417,0.417,2,1,0,3.4
732,5,5,0,1000,0.333,0.273,0.273,0.273,2,1,0,3.2
733,6,7,1,1000,0.417,0.364,0.364,0.364,2,1,1,3.6
734,6,6,0,1000,0.417,0.364,0.364,0.364,1,0,0,3.2
735,3,6,3,1000,0.417,0.364,0.364,0.364,3,1,1,2.8
736,6,5,1,1000,0.417,0.364,0.364,0.364,2,1,0,3.3
737,6,6,0,1000,0.875,0.875,0.875,0.875,0,0,0,4.8
738,6,6,0,1000,0.875,0.875,0.875,0.875,0,0,0,4.3
741,4,4,0,1000,0.875,0.857,0.857,0.857,0,0,1,4.4
745,6,6,0,0.259,0.1,0.111,0.111,0.111,0,1,0,2.8
746,6,4,2,0.206,0.125,0.125,0.125,0.125,1,0,0,3.6
747,6,4,2,0.199,0.125,0.125,0.125,0.125,1,0,0,4.0
748,4,5,1,0.199,0.25,0.286,0.286,0.286,1,0,0,2.6
749,4,6,2,0.199,0.125,0.125,0.125,0.125,1,0,0,3.4
752,6,6,0,1000,0.9,0.889,0.889,0.889,0,0,0,4.8
754,6,4,2,1000,0.5,0.444,0.444,0.444,1,0,1,3.4
757,6,3,3,1000,0.3,0.222,0.222,0.222,2,0,2,3.0
760,12,12,0,1000,0.647,0.625,0.625,0.625,1,0,1,3.2
761,12,13,1,1000,0.778,0.765,0.765,0.765,1,0,1,3.5
762,4,4,0,1000,0.857,0.857,0.857,0.857,0,0,0,4.5
764,4,4,0,1000,0.286,0.333,0.333,0.333,0,0,0,3.4
766,12,5,7,1000,0.176,0.188,0.188,0.188,4,2,2,3.4
769,4,12,8,1000,0.235,0.25,0.25,0.25,3,2,3,2.7
772,6,6,0,1000,0.9,0.889,0.889,0.889,0,0,0,4.5
774,8,5,3,1000,0.727,0.7,0.7,0.7,2,1,0,4.4
777,6,6,0,1000,0.222,0.125,0.125,0.125,1,1,0,2.4
783,6,5,1,1000,0.727,0.7,0.7,0.7,0,1,1,3.5
784,4,5,1,1000,0.778,0.778,0.778,0.778,0,0,1,4.5
785,5,4,1,1000,0.889,0.889,0.889,0.889,0,0,1,4.0
789,5,6,1,1000,0.5,0.455,0.455,0.455,1,1,0,2.9
791,5,6,1,1000,0.364,0.364,0.364,0.364,1,1,0,3.5
792,6,5,1,1000,0.273,0.3,0.3,0.3,0,1,1,2.4
793,5,5,0,1000,0.4,0.444,0.444,0.444,0,0,0,4.2
796,5,5,0,1000,0.909,0.909,0.909,0.909,0,0,0,4.4
797,5,5,0,1000,0.636,0.636,0.636,0.636,0,0,0,3.3
799,5,6,1,1000,0.364,0.364,0.364,0.364,1,2,1,2.7
802,5,6,1,0.532,0.364,0.364,0.364,0.364,1,2,1,3.2
804,5,6,1,1000,0.455,0.455,0.455,0.455,1,2,1,2.7
811,6,6,0,1000,0.167,0.091,0.091,0.091,0,2,3,2.2
812,8,6,2,1000,0.167,0.091,0.091,0.091,2,0,4,2.4
813,6,6,0,1000,0.167,0.091,0.091,0.091,1,1,3,2.1
820,7,6,1,1000,0.583,0.636,0.636,0.636,1,0,1,3.6
822,8,4,4,1000,0.231,0.231,0.231,0.231,2,1,1,2.3
824,5,7,2,1000,0.333,0.273,0.273,0.273,0,1,0,2.0
825,4,7,3,1000,0.333,0.273,0.273,0.273,1,0,1,2.0
830,5,5,0,1000,0.909,0.909,0.909,0.909,0,0,0,4.6
831,6,5,1,1000,0.833,0.833,0.833,0.833,0,0,0,4.1
836,10,5,5,1000,0.333,0.364,0.364,0.364,2,0,2,3.5
839,10,5,5,1000,0.333,0.364,0.364,0.364,2,0,2,3.7
841,6,6,0,1000,0.615,0.583,0.583,0.583,0,0,0,3.9
844,7,6,1,1000,0.9,0.889,0.889,0.889,0,0,1,4.085
845,6,4,2,1000,0.667,0.625,0.625,0.625,0,1,1,2.9
